Location,Routing,Routing - Copy,Location - Copy,
"Bethlehem, PA",ABE,ABE,"Bethlehem, PA",
"Bettles, AK",BTT,BTT,"Bettles, AK",
"Beziers, France",BZR,BZR,"Beziers, France",
"Bhadrapur, Nepal",BDP,BDP,"Bhadrapur, Nepal",
"Bhairawa, Nepal",BWA,BWA,"Bhairawa, Nepal",
"Bhamo, Myanmar",BMO,BMO,"Bhamo, Myanmar",
"Bharatpur, Nepal",BHR,BHR,"Bharatpur, Nepal",
"Bhavnagar, India",BHU,BHU,"Bhavnagar, India",
"Bhopal, India",BHO,BHO,"Bhopal, India",
"Bhubaneswar, India",BBI,BBI,"Bhubaneswar, India",
"Bhuj, India",BHJ,BHJ,"Bhuj, India",
"Biak, Indonesia",BIK,BIK,"Biak, Indonesia",
"Biarritz, France",BIQ,BIQ,"Biarritz, France",
"Big Trout, ON",YTL,YTL,"Big Trout, ON",
"Bikini Atoll, Marshall Islands",BII,BII,"Bikini Atoll, Marshall Islands",
"Bilbao, Spain",BIO,BIO,"Bilbao, Spain",
"Billings, MT",BIL,BIL,"Billings, MT",
"Billund, Denmark",BLL,BLL,"Billund, Denmark",
"Biloxi/Gulfport, MS",GPT,GPT,"Biloxi/Gulfport, MS",
"Bima, Indonesia",BMU,BMU,"Bima, Indonesia",
"Bimini, Bahamas",BIM,BIM,"Bimini, Bahamas",
"Bimini, Bahamas",NSB,NSB,"Bimini, Bahamas",
"Binghamton, NY",BGM,BGM,"Binghamton, NY",
"Bintulu, Malaysia",BTU,BTU,"Bintulu, Malaysia",
"Bintuni, Indonesia",NTI,NTI,"Bintuni, Indonesia",
"Biratragar, Nepal",BIR,BIR,"Biratragar, Nepal",
"Birch Creek, AK",KBC,KBC,"Birch Creek, AK",
"Birdsville, Australia",BVI,BVI,"Birdsville, Australia",
"Birmingham, AL",BHM,BHM,"Birmingham, AL",
"Birmingham, United Kingdom",BHX,BHX,"Birmingham, United Kingdom",
"Bisha, Saudi Arabia",BHH,BHH,"Bisha, Saudi Arabia",
"Bishkek, Kyrgyzstan",FRU,FRU,"Bishkek, Kyrgyzstan",
"Biskra, Algeria",BSK,BSK,"Biskra, Algeria",
"Bismarck, ND",BIS,BIS,"Bismarck, ND",
"Bissau, Guinea-Bissau",OXB,OXB,"Bissau, Guinea-Bissau",
"Black Tickle, NL",YBI,YBI,"Black Tickle, NL",
"Blackall, Australia",BKQ,BKQ,"Blackall, Australia",
"Blackpool, United Kingdom",BLK,BLK,"Blackpool, United Kingdom",
"Blackwater, Australia",BLT,BLT,"Blackwater, Australia",
"Blagoveschensk, Russia",BQS,BQS,"Blagoveschensk, Russia",
"Blanc Sablon, QC",YBX,YBX,"Blanc Sablon, QC",
"Blantyre, Malawi",BLZ,BLZ,"Blantyre, Malawi",
"Blenheim, New Zealand",BHE,BHE,"Blenheim, New Zealand",
"Blo Horizonte, Brazil",CNF,CNF,"Blo Horizonte, Brazil",
"Block Island, RI",BID,BID,"Block Island, RI",
"Bloemfontein, South Africa",BFN,BFN,"Bloemfontein, South Africa",
"Bloomington, IL",BMI,BMI,"Bloomington, IL",
"Bluefield, WV",BLF,BLF,"Bluefield, WV",
"Boa Vista, Cape Verde",BVC,BVC,"Boa Vista, Cape Verde",
"Boang, Papua New Guinea",BOV,BOV,"Boang, Papua New Guinea",
"Boavista, Brazil",BVB,BVB,"Boavista, Brazil",
"Bocas Del Toro, Panama",BOC,BOC,"Bocas Del Toro, Panama",
"Bodo, Norway",BOO,BOO,"Bodo, Norway",
"Bodrum, Turkey",BJV,BJV,"Bodrum, Turkey",
"Bogota, Colombia",BOG,BOG,"Bogota, Colombia",
"Boiju Island, Australia",GIC,GIC,"Boiju Island, Australia",
"Boise, ID",BOI,BOI,"Boise, ID",
"Bojnord, Iran",BJB,BJB,"Bojnord, Iran",
"Bokondini, Indonesia",BUI,BUI,"Bokondini, Indonesia",
"Bol, Croatia",BWK,BWK,"Bol, Croatia",
"Bolzano, Italy",BZO,BZO,"Bolzano, Italy",
"Boma, Congo",BOA,BOA,"Boma, Congo",
"Bombay, India",BOM,BOM,"Bombay, India",
"Bonaire, Netherlands Antilles",BON,BON,"Bonaire, Netherlands Antilles",
"Bonaventure, QC",YVB,YVB,"Bonaventure, QC",
"Bonn, Germany",BNJ,BNJ,"Bonn, Germany",
"Bora Bora, French Polynesia",BOB,BOB,"Bora Bora, French Polynesia",
"Bordeaux, France",BOD,BOD,"Bordeaux, France",
"Borg El Arab, Egypt",HBE,HBE,"Borg El Arab, Egypt",
"Borkum, Germany",BMK,BMK,"Borkum, Germany",
"Borlange, Sweden",BLE,BLE,"Borlange, Sweden",
"Bornholm, Denmark",RNN,RNN,"Bornholm, Denmark",
"Borroloola, Australia",BOX,BOX,"Borroloola, Australia",
"Bossaro, Somalia",BSA,BSA,"Bossaro, Somalia",
"Boston, MA",BOS,BOS,"Boston, MA",
"Boulder, CO - Bus service",XHH,XHH,"Boulder, CO - Bus service",
"Boulder, CO - Hiltons Har H",WHH,WHH,"Boulder, CO - Hiltons Har H",
"Boulder, CO - Municipal Airport",WBU,WBU,"Boulder, CO - Municipal Airport",
"Boulia, Australia",BQL,BQL,"Boulia, Australia",
"Boundary, AK",BYA,BYA,"Boundary, AK",
"Bourgas, Bulgaria",BOJ,BOJ,"Bourgas, Bulgaria",
"Bourke, Australia",BRK,BRK,"Bourke, Australia",
"Bournemouth, United Kingdom",BOH,BOH,"Bournemouth, United Kingdom",
"Bowling Green, KY",BWG,BWG,"Bowling Green, KY",
"Bozeman, MT",BZN,BZN,"Bozeman, MT",
"Brack, Libya",BCQ,BCQ,"Brack, Libya",
"Bradford, PA",BFD,BFD,"Bradford, PA",
"Brainerd, MN",BRD,BRD,"Brainerd, MN",
"Brampton Island, Australia",BMP,BMP,"Brampton Island, Australia",
"Brampton, ON - Rail service",XPN,XPN,"Brampton, ON - Rail service",
"Brandon, MB",YBR,YBR,"Brandon, MB",
"Brantford, ON - Rail service",XFV,XFV,"Brantford, ON - Rail service",
"Brasilia, DF, Brazil",BSB,BSB,"Brasilia, DF, Brazil",
"Bratislava, Slovakia",BTS,BTS,"Bratislava, Slovakia",
"Bratsk, Russia",BTK,BTK,"Bratsk, Russia",
"Braunschweig, Denmark",BWE,BWE,"Braunschweig, Denmark",
"Brawnwood, TX",BWD,BWD,"Brawnwood, TX",
"Brazzaville, Congo",BZV,BZV,"Brazzaville, Congo",
"Breckenridge, CO - Van service",QKB,QKB,"Breckenridge, CO - Van service",
"Bremen, Germany",BRE,BRE,"Bremen, Germany",
"Brest, France",BES,BES,"Brest, France",
"Brewarrina, Australia",BWQ,BWQ,"Brewarrina, Australia",
"Bridgetown, Barbados",BGI,BGI,"Bridgetown, Barbados",
"Brindisi, Italy",BDS,BDS,"Brindisi, Italy",
"Brisbane, Queensland, Australia",BNE,BNE,"Brisbane, Queensland, Australia",
"Bristol, United Kingdom",BRS,BRS,"Bristol, United Kingdom",
"Bristol, VA",TRI,TRI,"Bristol, VA",
"Brive-La-Gaillarde, France - Laroche",BVE,BVE,"Brive-La-Gaillarde, France - Laroche",
"Brno, Czech Republic - Bus service",ZDN,ZDN,"Brno, Czech Republic - Bus service",
"Brno, Czech Republic - Turany",BRQ,BRQ,"Brno, Czech Republic - Turany",
"Brochet, MB",YBT,YBT,"Brochet, MB",
"Brockville, ON",XBR,XBR,"Brockville, ON",
"Broken Hill, Australia",BHQ,BHQ,"Broken Hill, Australia",
"Bronnoysund, Norway",BNN,BNN,"Bronnoysund, Norway",
"Brookings, SD",BKX,BKX,"Brookings, SD",
"Brooks Lodge, AK",RBH,RBH,"Brooks Lodge, AK",
"Broome, Australia",BME,BME,"Broome, Australia",
"Brownsville, TX",BRO,BRO,"Brownsville, TX",
"Brunswick, GA",BQK,BQK,"Brunswick, GA",
"Brus Laguna, Honduras",BHG,BHG,"Brus Laguna, Honduras",
"Brussels, Belgium - National",BRU,BRU,"Brussels, Belgium - National",
"Brussels, Belgium - Rail service",ZYR,ZYR,"Brussels, Belgium - Rail service",
"Brussels, Belguim - Charleroi",CRL,CRL,"Brussels, Belguim - Charleroi",
"Bucaramanga, Colombia",BGA,BGA,"Bucaramanga, Colombia",
"Bucharest, Romania - Baneasa",BBU,BBU,"Bucharest, Romania - Baneasa",
"Bucharest, Romania - Otopeni International",OTP,OTP,"Bucharest, Romania - Otopeni International",
"Buckland, AK",BKC,BKC,"Buckland, AK",
"Budapest, Hungary",BUD,BUD,"Budapest, Hungary",
"Buenos Aires, Argentina - Jorge Newbery",AEP,AEP,"Buenos Aires, Argentina - Jorge Newbery",
"Buenos Aires, Argentina - Ministro Pistarini",EZE,EZE,"Buenos Aires, Argentina - Ministro Pistarini",
"Buffalo, NY",BUF,BUF,"Buffalo, NY",
"Bugulma, Russia",UUA,UUA,"Bugulma, Russia",
"Bujumbura, Burundi",BJM,BJM,"Bujumbura, Burundi",
"Buka, Papua New Guinea",BUA,BUA,"Buka, Papua New Guinea",
"Bukhara, Uzbekistan",BHK,BHK,"Bukhara, Uzbekistan",
"Bukoba, Malaysia",BKZ,BKZ,"Bukoba, Malaysia",
"Bulawayo, Zimbabwe",BUQ,BUQ,"Bulawayo, Zimbabwe",
"Bulgulma, Russia",UUA,UUA,"Bulgulma, Russia",
"Bullhead City/Laughlin, AZ",IFP,IFP,"Bullhead City/Laughlin, AZ",
"Bundaberg, Australia",BDB,BDB,"Bundaberg, Australia",
"Bunsil, Papua New Guinea",BXZ,BXZ,"Bunsil, Papua New Guinea",
"Burao, Somalia",BUO,BUO,"Burao, Somalia",
"Burbank, CA",BUR,BUR,"Burbank, CA",
"Bureta, Fiji",LEV,LEV,"Bureta, Fiji",
"Buri Ram, Thailand",BFV,BFV,"Buri Ram, Thailand",
"Burketown, Australia",BUC,BUC,"Burketown, Australia",
"Burlington, IA",BRL,BRL,"Burlington, IA",
"Burlington, VT",BTV,BTV,"Burlington, VT",
"Burnie, Australia",BWT,BWT,"Burnie, Australia",
"Burns Lake, BC",YPZ,YPZ,"Burns Lake, BC",
"Busan, South Korea - Gimhae",PUS,PUS,"Busan, South Korea - Gimhae",
"Butte, MT",BTM,BTM,"Butte, MT",
"Butuan, Philippines",BXU,BXU,"Butuan, Philippines",
"Bydgoszcz, Poland",BZG,BZG,"Bydgoszcz, Poland",
"Cabo San Lucas, 'Los Cabos', Mexico",SJD,SJD,"Cabo San Lucas, 'Los Cabos', Mexico",
"Caen, France",CFR,CFR,"Caen, France",
"Cagayan De Oro, Philippines - Lumbia",CGY,CGY,"Cagayan De Oro, Philippines - Lumbia",
"Cagliari, Italy",CAG,CAG,"Cagliari, Italy",
"Cairns, Australia",CNS,CNS,"Cairns, Australia",
"Cairo, Egypt",CAI,CAI,"Cairo, Egypt",
"Cajamarca, Peru",CJA,CJA,"Cajamarca, Peru",
"Calabar, Nigeria",CBQ,CBQ,"Calabar, Nigeria",
"Calama, Chile",CJC,CJC,"Calama, Chile",
"Calcutta, India",CCU,CCU,"Calcutta, India",
"Calgary, AB",YYC,YYC,"Calgary, AB",
"Cali, Colombia",CLO,CLO,"Cali, Colombia",
"Calvi, France",CLY,CLY,"Calvi, France",
"Camaguey, Cuba",CMW,CMW,"Camaguey, Cuba",
"Cambridge Bay, NU",YCB,YCB,"Cambridge Bay, NU",
"Cambridge, United Kingdom",CBG,CBG,"Cambridge, United Kingdom",
"Camodoro, Argentina",CRD,CRD,"Camodoro, Argentina",
"Campbell River, BC",YBL,YBL,"Campbell River, BC",
"Campbellton, NB - Rail service",XAZ,XAZ,"Campbellton, NB - Rail service",
"Campbeltown, United Kingdom",CAL,CAL,"Campbeltown, United Kingdom",
"Campeche, Mexico",CPE,CPE,"Campeche, Mexico",
"Campina Grande, Brazil",CPV,CPV,"Campina Grande, Brazil",
"Campinas, Brazil",CPQ,CPQ,"Campinas, Brazil",
"Campo Grande, Brazil",CGR,CGR,"Campo Grande, Brazil",
"Campos, Brazil",CAW,CAW,"Campos, Brazil",
"Canaima, Venezuela",CAS,CAS,"Canaima, Venezuela",
"Canberra, Australia",CBR,CBR,"Canberra, Australia",
"Cancun, Mexico",CUN,CUN,"Cancun, Mexico",
"Cannes, France - Coisette Heliport",JCA,JCA,"Cannes, France - Coisette Heliport",
"Cannes, France - Mandelieu",CEQ,CEQ,"Cannes, France - Mandelieu",
"Cannes, France - Vieux Port",QYW,QYW,"Cannes, France - Vieux Port",
"Canouan, Saint Vincent and the Grenadines",CIW,CIW,"Canouan, Saint Vincent and the Grenadines",
"Canton/Akron, OH",CAK,CAK,"Canton/Akron, OH",
"Cap Haitien, Haiti",CAP,CAP,"Cap Haitien, Haiti",
"Cape Dorset, NU",YTE,YTE,"Cape Dorset, NU",
"Cape Girardeau, MO",CGI,CGI,"Cape Girardeau, MO",
"Cape Lisburne, AK",LUR,LUR,"Cape Lisburne, AK",
"Cape Newenham, AK",EHM,EHM,"Cape Newenham, AK",
"Cape Orford, Papua New Guinea",CPI,CPI,"Cape Orford, Papua New Guinea",
"Cape Town, South Africa",CPT,CPT,"Cape Town, South Africa",
"Cape Vogel, Papua New Guinea",CVL,CVL,"Cape Vogel, Papua New Guinea",
"Capreol, ON - Rail service",XAW,XAW,"Capreol, ON - Rail service",
"Caracas, Venezuela",CCS,CCS,"Caracas, Venezuela",
"Carajas, Brazil",CKS,CKS,"Carajas, Brazil",
"Carbondale, IL",MDH,MDH,"Carbondale, IL",
"Carcassonne, France",CCF,CCF,"Carcassonne, France",
"Cardiff, United Kingdom",CWL,CWL,"Cardiff, United Kingdom",
"Carlsbad, CA",CLD,CLD,"Carlsbad, CA",
"Carlsbad, NM",CNM,CNM,"Carlsbad, NM",
"Carmel, CA",MRY,MRY,"Carmel, CA",
"Carnarvon, Australia",CVQ,CVQ,"Carnarvon, Australia",
"Carrillo, Costa Rica",RIK,RIK,"Carrillo, Costa Rica",
"Cartagena, Colombia",CTG,CTG,"Cartagena, Colombia",
"Cartwright, NL",YRF,YRF,"Cartwright, NL",
"Carupani, Venezuela",CUP,CUP,"Carupani, Venezuela",
"Casablanca, Morocco - Anfa",CAS,CAS,"Casablanca, Morocco - Anfa",
"Casablanca, Morocco - Mohamed V",CMN,CMN,"Casablanca, Morocco - Mohamed V",
"Cascavel, Brazil",CAC,CAC,"Cascavel, Brazil",
"Casino, Australia",CSI,CSI,"Casino, Australia",
"Casper, WY",CPR,CPR,"Casper, WY",
"Casselman, ON - Rail service",XZB,XZB,"Casselman, ON - Rail service",
"Castaway, Fiji",CST,CST,"Castaway, Fiji",
"Castlegar, BC",YCG,YCG,"Castlegar, BC",
"Castres, France",DCM,DCM,"Castres, France",
"Cat Lake, ON",YAC,YAC,"Cat Lake, ON",
"Catamarca, Argentina",CTC,CTC,"Catamarca, Argentina",
"Catania, Italy",CTA,CTA,"Catania, Italy",
"Caucasia, Colombia",CAQ,CAQ,"Caucasia, Colombia",
"Caxias Do Sul, Brazil",CXJ,CXJ,"Caxias Do Sul, Brazil",
"Cayenne, French Guiana",CAY,CAY,"Cayenne, French Guiana",
"Cayman Brac Is, Cambodia",CYB,CYB,"Cayman Brac Is, Cambodia",
"Cayo Largo Del Sur, Cuba",CYO,CYO,"Cayo Largo Del Sur, Cuba",
"Cebu, Philippines - Matan International",CEB,CEB,"Cebu, Philippines - Matan International",
"Cedar City, UT",CDC,CDC,"Cedar City, UT",
"Cedar Rapids, IA",CID,CID,"Cedar Rapids, IA",
"Cedun, Australia",CED,CED,"Cedun, Australia",
"Central, AK",CEM,CEM,"Central, AK",
"Ceuta, Spain and Canary Islands",JCU,JCU,"Ceuta, Spain and Canary Islands",
"Chadron, NE",CDR,CDR,"Chadron, NE",
"Chah-Bahar, Iran",ZBR,ZBR,"Chah-Bahar, Iran",
"Chalkyitsik, AK",CIK,CIK,"Chalkyitsik, AK",
"Chambery, France",CMF,CMF,"Chambery, France",
"Chambord, QC - Rail service",XCI,XCI,"Chambord, QC - Rail service",
"Champaign/Urbana, IL",CMI,CMI,"Champaign/Urbana, IL",
"Chandigarh, India",IXC,IXC,"Chandigarh, India",
"Chandler, QC - Rail service",XDL,XDL,"Chandler, QC - Rail service",
"Changchun, China",CGQ,CGQ,"Changchun, China",
"Changde, China",CGD,CGD,"Changde, China",
"Changuinda, Panama",CHX,CHX,"Changuinda, Panama",
"Changzhou, China",CZX,CZX,"Changzhou, China",
"Chania, Greece",CHQ,CHQ,"Chania, Greece",
"Chaoyang, China",CHG,CHG,"Chaoyang, China",
"Chapeco, Brazil",XAP,XAP,"Chapeco, Brazil",
"Chapleau, ON",YLD,YLD,"Chapleau, ON",
"Charleston, SC",CHS,CHS,"Charleston, SC",
"Charleston, WV",CRW,CRW,"Charleston, WV",
"Charleville, Australia",CTL,CTL,"Charleville, Australia",
"Charlotte, NC",CLT,CLT,"Charlotte, NC",
"Charlottesville, VA",CHO,CHO,"Charlottesville, VA",
"Charlottetown, NL",YHG,YHG,"Charlottetown, NL",
"Charlottetown, PE",YYG,YYG,"Charlottetown, PE",
"Chatham Island, New Zealand",CHT,CHT,"Chatham Island, New Zealand",
"Chatham, ON",XCM,XCM,"Chatham, ON",
"Chattanooga, TN",CHA,CHA,"Chattanooga, TN",
"Cheboksary, Russia",CSY,CSY,"Cheboksary, Russia",
"Chefornak, AK",CYF,CYF,"Chefornak, AK",
"Chelybinsk, Russia",CEK,CEK,"Chelybinsk, Russia",
"Chemainus, BC - Rail service",XHS,XHS,"Chemainus, BC - Rail service",
"Chennai, India",MAA,MAA,"Chennai, India",
"Cheongju, South Korea",CJJ,CJJ,"Cheongju, South Korea",
"Cherepovets, Russia",CEE,CEE,"Cherepovets, Russia",
"Chergdu, China",CTU,CTU,"Chergdu, China",
"Chester, United Kingdom",CEG,CEG,"Chester, United Kingdom",
"Chesterfield Inlet, NU",YCS,YCS,"Chesterfield Inlet, NU",
"Chetumal, Mexico",CTM,CTM,"Chetumal, Mexico",
"Chevak, AK",VAK,VAK,"Chevak, AK",
"Chevepovets, Russia",CEE,CEE,"Chevepovets, Russia",
"Chevery, QC",YHR,YHR,"Chevery, QC",
"Cheyenne, WY",CYS,CYS,"Cheyenne, WY",
"Chi Mei, Taiwan",CMJ,CMJ,"Chi Mei, Taiwan",
"Chiang Mai, Thailand",CNX,CNX,"Chiang Mai, Thailand",
"Chiang Rai, Thailand",CEI,CEI,"Chiang Rai, Thailand",
"Chiayi, Taiwan",CYI,CYI,"Chiayi, Taiwan",
"Chibougamau, QC",YMT,YMT,"Chibougamau, QC",
"Chicago, IL - All airports",CHI,CHI,"Chicago, IL - All airports",
"Chicago, IL - Midway",MDW,MDW,"Chicago, IL - Midway",
"Chicago, IL - O'Hare",ORD,ORD,"Chicago, IL - O'Hare",
"Chicayo, Peru",CIX,CIX,"Chicayo, Peru",
"Chicken, AK",CKX,CKX,"Chicken, AK",
"Chico, CA",CIC,CIC,"Chico, CA",
"Chifeng, China",CIF,CIF,"Chifeng, China",
"Chignik, AK -",KCQ,KCQ,"Chignik, AK -",
"Chignik, AK - Fisheries",KCG,KCG,"Chignik, AK - Fisheries",
"Chignik, AK - Lagoon",KCL,KCL,"Chignik, AK - Lagoon",
"Chihuahua, Mexico",CUU,CUU,"Chihuahua, Mexico",
"Chillan, Chile",YAI,YAI,"Chillan, Chile",
"Chipata, Zambia",CIP,CIP,"Chipata, Zambia",
"Chisana, AK",CZN,CZN,"Chisana, AK",
"Chisasibi, QC",YKU,YKU,"Chisasibi, QC",
"Chisholm/Hibbing, MN",HIB,HIB,"Chisholm/Hibbing, MN",
"Chisinau, Republic of Moldova",KIV,KIV,"Chisinau, Republic of Moldova",
"Chita, Russia",HTA,HTA,"Chita, Russia",
"Chitral, Pakistan",CJL,CJL,"Chitral, Pakistan",
"Chitre, Panama",CTD,CTD,"Chitre, Panama",
"Chittagong, Bangladesh",CGP,CGP,"Chittagong, Bangladesh",
"Choiseul Bay, Solomon Islands",CHY,CHY,"Choiseul Bay, Solomon Islands",
"Chongqing, China",CKG,CKG,"Chongqing, China",
"Christchurch, New Zealand",CHC,CHC,"Christchurch, New Zealand",
"Christmas Island, Christmas Island",XCH,XCH,"Christmas Island, Christmas Island",
"Chuathbaluk, AK",CHU,CHU,"Chuathbaluk, AK",
"Churchill Falls, NL",ZUM,ZUM,"Churchill Falls, NL",
"Churchill, MB",YYQ,YYQ,"Churchill, MB",
"Churchill, MB - Rail service",XAD,XAD,"Churchill, MB - Rail service",
"Cicia, Fiji",ICI,ICI,"Cicia, Fiji",
"Ciego De Avila, Cuba",AVI,AVI,"Ciego De Avila, Cuba",
"Cincinnati, OH",CVG,CVG,"Cincinnati, OH",
"Circle Hot Springs, AK",CHP,CHP,"Circle Hot Springs, AK",
